+-------------------------------------+
|        Program final_project        |
| Author: Jose Antonio Quinonero Gris |
+-------------------------------------+

Model: Simple                                                                          
Method: RK4                                                                             

Initial time, t_0 (arbitrary units):       0.00
Time of simulation (arbitrary units):     100.00
Time step (arbitrary units):       0.00
Number of points: 50001

Constants:
alpha =   0.400000
alphaprime =   0.000000
beta =   0.100000
kappa =   1.100000
kappaprime =   0.000000
lambda =   0.400000

Results:
Number of iterations: 50001
Total time of simulation:          100.00

------------------------------------------------
           t            Prey           Predator
------------------------------------------------
           1.17           0.33           8.58
           1.17           0.33           8.58
           1.17           0.33           8.57
           1.18           0.32           8.56
           1.18           0.32           8.56
           1.18           0.32           8.55
           1.18           0.32           8.55
           1.18           0.32           8.54
           1.19           0.32           8.53
           1.19           0.32           8.53
           1.19           0.31           8.52
           1.19           0.31           8.51
           1.19           0.31           8.51
           1.20           0.31           8.50
           1.20           0.31           8.49
           1.20           0.31           8.49
           1.20           0.31           8.48
           1.20           0.30           8.48
           1.21           0.30           8.47
           1.21           0.30           8.46
           1.21           0.30           8.46
           1.21           0.30           8.45
           1.21           0.30           8.44
           1.22           0.30           8.44
           1.22           0.29           8.43
           1.22           0.29           8.43
           1.22           0.29           8.42
           1.22           0.29           8.41
           1.23           0.29           8.41
           1.23           0.29           8.40
           1.23           0.29           8.39
           1.23           0.29           8.39
           1.23           0.28           8.38
           1.24           0.28           8.38
           1.24           0.28           8.37
           1.24           0.28           8.36
           1.24           0.28           8.36
           1.24           0.28           8.35
           1.25           0.28           8.34
           1.25           0.28           8.34
           1.25           0.27           8.33
           1.25           0.27           8.33
           1.25           0.27           8.32
           1.26           0.27           8.31
           1.26           0.27           8.31
           1.26           0.27           8.30
           1.26           0.27           8.30
           1.26           0.27           8.29
           1.27           0.26           8.28
           1.27           0.26           8.28
           1.27           0.26           8.27
           1.27           0.26           8.26
           1.27           0.26           8.26
           1.28           0.26           8.25
           1.28           0.26           8.25
           1.28           0.26           8.24
           1.28           0.26           8.23
           1.28           0.25           8.23
           1.29           0.25           8.22
           1.29           0.25           8.22
           1.29           0.25           8.21
           1.29           0.25           8.20
           1.29           0.25           8.20
           1.30           0.25           8.19
           1.30           0.25           8.18
           1.30           0.25           8.18
           1.30           0.24           8.17
           1.30           0.24           8.17
           1.31           0.24           8.16
           1.31           0.24           8.15
           1.31           0.24           8.15
           1.31           0.24           8.14
           1.31           0.24           8.14
           1.32           0.24           8.13
           1.32           0.24           8.12
           1.32           0.24           8.12
           1.32           0.23           8.11
           1.32           0.23           8.10
           1.33           0.23           8.10
           1.33           0.23           8.09
           1.33           0.23           8.09
           1.33           0.23           8.08
           1.33           0.23           8.07
           1.34           0.23           8.07
           1.34           0.23           8.06
           1.34           0.23           8.06
           1.34           0.22           8.05
           1.34           0.22           8.04
           1.35           0.22           8.04
           1.35           0.22           8.03
           1.35           0.22           8.03
           1.35           0.22           8.02
           1.35           0.22           8.01
           1.36           0.22           8.01
           1.36           0.22           8.00
           1.36           0.22           8.00
           1.36           0.22           7.99
           1.36           0.21           7.98
           1.37           0.21           7.98
           1.37           0.21           7.97
           1.37           0.21           7.97
           1.37           0.21           7.96
           1.37           0.21           7.95
           1.38           0.21           7.95
           1.38           0.21           7.94
           1.38           0.21           7.93
           1.38           0.21           7.93
           1.38           0.21           7.92
           1.39           0.20           7.92
           1.39           0.20           7.91
           1.39           0.20           7.90
           1.39           0.20           7.90
           1.39           0.20           7.89
           1.40           0.20           7.89
           1.40           0.20           7.88
           1.40           0.20           7.87
           1.40           0.20           7.87
           1.40           0.20           7.86
           1.41           0.20           7.86
           1.41           0.20           7.85
           1.41           0.19           7.84
           1.41           0.19           7.84
           1.41           0.19           7.83
           1.42           0.19           7.83
           1.42           0.19           7.82
           1.42           0.19           7.82
           1.42           0.19           7.81
           1.42           0.19           7.80
           1.43           0.19           7.80
           1.43           0.19           7.79
           1.43           0.19           7.79
           1.43           0.19           7.78
           1.43           0.19           7.77
           1.44           0.18           7.77
           1.44           0.18           7.76
           1.44           0.18           7.76
           1.44           0.18           7.75
           1.44           0.18           7.74
