------------------------------
      t       Prey   Predator
    547.00      0.00    149.11
    548.00      0.00    148.37
    549.00      0.00    147.63
    550.00      0.00    146.89
    551.00      0.00    146.15
    552.00      0.00    145.42
    553.00      0.00    144.70
    554.00      0.00    143.97
    555.00      0.00    143.25
    556.00      0.00    142.54
    557.00      0.00    141.82
    558.00      0.00    141.11
    559.00      0.00    140.41
    560.00      0.00    139.71
    561.00      0.00    139.01
    562.00      0.00    138.31
    563.00      0.00    137.62
    564.00      0.00    136.93
    565.00      0.00    136.25
    566.00      0.00    135.57
    567.00      0.00    134.89
    568.00      0.00    134.22
    569.00      0.00    133.54
    570.00      0.00    132.88
    571.00      0.00    132.21
    572.00      0.00    131.55
    573.00      0.00    130.89
    574.00      0.00    130.24
    575.00      0.00    129.59
    576.00      0.00    128.94
    577.00      0.00    128.30
    578.00      0.00    127.65
    579.00      0.00    127.02
    580.00      0.00    126.38
    581.00      0.00    125.75
    582.00      0.00    125.12
    583.00      0.00    124.49
    584.00      0.00    123.87
    585.00      0.00    123.25
    586.00      0.00    122.64
    587.00      0.00    122.02
    588.00      0.00    121.41
    589.00      0.00    120.81
    590.00      0.00    120.20
    591.00      0.00    119.60
    592.00      0.00    119.00
    593.00      0.00    118.41
    594.00      0.00    117.82
    595.00      0.00    117.23
    596.00      0.00    116.64
    597.00      0.00    116.06
    598.00      0.00    115.48
    599.00      0.00    114.90
    600.00      0.00    114.33
    601.00      0.00    113.75
    602.00      0.00    113.18
    603.00      0.00    112.62
    604.00      0.00    112.06
    605.00      0.00    111.50
    606.00      0.00    110.94
    607.00      0.00    110.38
    608.00      0.00    109.83
    609.00      0.00    109.28
    610.00      0.00    108.74
    611.00      0.00    108.19
    612.00      0.00    107.65
    613.00      0.00    107.11
    614.00      0.00    106.58
    615.00      0.00    106.04
    616.00      0.00    105.51
    617.00      0.00    104.99
    618.00      0.00    104.46
    619.00      0.00    103.94
    620.00      0.00    103.42
    621.00      0.00    102.90
    622.00      0.00    102.39
    623.00      0.00    101.88
    624.00      0.00    101.37
    625.00      0.00    100.86
    626.00      0.00    100.36
    627.00      0.00     99.85
    628.00      0.00     99.35
    629.00      0.00     98.86
    630.00      0.00     98.36
    631.00      0.00     97.87
    632.00      0.00     97.38
    633.00      0.00     96.90
    634.00      0.00     96.41
    635.00      0.00     95.93
    636.00      0.00     95.45
    637.00      0.00     94.97
    638.00      0.00     94.50
    639.00      0.00     94.02
    640.00      0.00     93.55
    641.00      0.00     93.09
    642.00      0.00     92.62
    643.00      0.00     92.16
    644.00      0.00     91.70
    645.00      0.00     91.24
    646.00      0.00     90.78
    647.00      0.00     90.33
    648.00      0.00     89.88
    649.00      0.00     89.43
    650.00      0.00     88.98
    651.00      0.00     88.54
    652.00      0.00     88.09
    653.00      0.00     87.65
    654.00      0.00     87.21
    655.00      0.00     86.78
    656.00      0.00     86.34
    657.00      0.00     85.91
    658.00      0.00     85.48
    659.00      0.00     85.06
    660.00      0.00     84.63
    661.00      0.00     84.21
    662.00      0.00     83.79
    663.00      0.00     83.37
    664.00      0.00     82.95
    665.00      0.00     82.54
    666.00      0.00     82.12
    667.00      0.00     81.71
