 +--------------------+
 | Program exercise13 |
 +--------------------+

 ----------------------------------------
         n        1/n**2          error
       768       1.643633       0.001301
       769       1.643635       0.001300
       770       1.643636       0.001298
       771       1.643638       0.001296
       772       1.643640       0.001294
       773       1.643641       0.001293
       774       1.643643       0.001291
       775       1.643645       0.001289
       776       1.643646       0.001288
       777       1.643648       0.001286
       778       1.643650       0.001285
       779       1.643651       0.001283
       780       1.643653       0.001281
       781       1.643654       0.001280
       782       1.643656       0.001278
       783       1.643658       0.001276
       784       1.643659       0.001275
       785       1.643661       0.001273
       786       1.643663       0.001271
       787       1.643664       0.001270
       788       1.643666       0.001268
       789       1.643667       0.001267
       790       1.643669       0.001265
       791       1.643671       0.001263
       792       1.643672       0.001262
       793       1.643674       0.001260
       794       1.643675       0.001259
       795       1.643677       0.001257
       796       1.643679       0.001255
       797       1.643680       0.001254
       798       1.643682       0.001252
       799       1.643683       0.001251
       800       1.643685       0.001249
       801       1.643686       0.001248
       802       1.643688       0.001246
       803       1.643690       0.001245
       804       1.643691       0.001243
       805       1.643693       0.001241
       806       1.643694       0.001240
       807       1.643696       0.001238
       808       1.643697       0.001237
       809       1.643699       0.001235
       810       1.643700       0.001234
       811       1.643702       0.001232
       812       1.643703       0.001231
       813       1.643705       0.001229
       814       1.643706       0.001228
       815       1.643708       0.001226
       816       1.643709       0.001225
       817       1.643711       0.001223
       818       1.643712       0.001222
       819       1.643714       0.001220
       820       1.643715       0.001219
       821       1.643717       0.001217
       822       1.643718       0.001216
       823       1.643720       0.001214
       824       1.643721       0.001213
       825       1.643723       0.001211
       826       1.643724       0.001210
       827       1.643726       0.001208
       828       1.643727       0.001207
       829       1.643729       0.001206
       830       1.643730       0.001204
       831       1.643731       0.001203
       832       1.643733       0.001201
       833       1.643734       0.001200
       834       1.643736       0.001198
       835       1.643737       0.001197
       836       1.643739       0.001195
       837       1.643740       0.001194
       838       1.643741       0.001193
       839       1.643743       0.001191
       840       1.643744       0.001190
       841       1.643746       0.001188
       842       1.643747       0.001187
       843       1.643749       0.001186
       844       1.643750       0.001184
       845       1.643751       0.001183
       846       1.643753       0.001181
       847       1.643754       0.001180
       848       1.643756       0.001179
       849       1.643757       0.001177
       850       1.643758       0.001176
       851       1.643760       0.001174
       852       1.643761       0.001173
       853       1.643762       0.001172
       854       1.643764       0.001170
       855       1.643765       0.001169
       856       1.643767       0.001168
       857       1.643768       0.001166
       858       1.643769       0.001165
       859       1.643771       0.001163
       860       1.643772       0.001162
       861       1.643773       0.001161
       862       1.643775       0.001159
       863       1.643776       0.001158
       864       1.643777       0.001157
       865       1.643779       0.001155
       866       1.643780       0.001154
       867       1.643781       0.001153
       868       1.643783       0.001151
       869       1.643784       0.001150
       870       1.643785       0.001149
       871       1.643787       0.001147
       872       1.643788       0.001146
       873       1.643789       0.001145
       874       1.643791       0.001144
       875       1.643792       0.001142
       876       1.643793       0.001141
       877       1.643794       0.001140
       878       1.643796       0.001138
       879       1.643797       0.001137
       880       1.643798       0.001136
       881       1.643800       0.001134
       882       1.643801       0.001133
       883       1.643802       0.001132
       884       1.643803       0.001131
       885       1.643805       0.001129
       886       1.643806       0.001128
       887       1.643807       0.001127
       888       1.643809       0.001125
       889       1.643810       0.001124
       890       1.643811       0.001123
       891       1.643812       0.001122
       892       1.643814       0.001120
       893       1.643815       0.001119
       894       1.643816       0.001118
       895       1.643817       0.001117
       896       1.643819       0.001115
       897       1.643820       0.001114
       898       1.643821       0.001113
       899       1.643822       0.001112
       900       1.643824       0.001110
       901       1.643825       0.001109
       902       1.643826       0.001108
       903       1.643827       0.001107
       904       1.643828       0.001106
       905       1.643830       0.001104
       906       1.643831       0.001103
       907       1.643832       0.001102
       908       1.643833       0.001101
       909       1.643835       0.001100
       910       1.643836       0.001098
       911       1.643837       0.001097
       912       1.643838       0.001096
       913       1.643839       0.001095
       914       1.643841       0.001093
       915       1.643842       0.001092
       916       1.643843       0.001091
       917       1.643844       0.001090
       918       1.643845       0.001089
       919       1.643847       0.001088
       920       1.643848       0.001086
       921       1.643849       0.001085
       922       1.643850       0.001084
       923       1.643851       0.001083
       924       1.643852       0.001082
       925       1.643854       0.001080
       926       1.643855       0.001079
       927       1.643856       0.001078
       928       1.643857       0.001077
       929       1.643858       0.001076
       930       1.643859       0.001075
       931       1.643861       0.001074
       932       1.643862       0.001072
       933       1.643863       0.001071
       934       1.643864       0.001070
       935       1.643865       0.001069
       936       1.643866       0.001068
       937       1.643867       0.001067
       938       1.643869       0.001066
       939       1.643870       0.001064
       940       1.643871       0.001063
       941       1.643872       0.001062
       942       1.643873       0.001061
       943       1.643874       0.001060
       944       1.643875       0.001059
       945       1.643876       0.001058
       946       1.643878       0.001057
       947       1.643879       0.001055
       948       1.643880       0.001054
       949       1.643881       0.001053
       950       1.643882       0.001052
       951       1.643883       0.001051
       952       1.643884       0.001050
       953       1.643885       0.001049
       954       1.643886       0.001048
       955       1.643887       0.001047
       956       1.643889       0.001045
       957       1.643890       0.001044
       958       1.643891       0.001043
       959       1.643892       0.001042
       960       1.643893       0.001041
       961       1.643894       0.001040
       962       1.643895       0.001039
       963       1.643896       0.001038
       964       1.643897       0.001037
       965       1.643898       0.001036
       966       1.643899       0.001035
       967       1.643900       0.001034
       968       1.643902       0.001033
       969       1.643903       0.001031
       970       1.643904       0.001030
       971       1.643905       0.001029
       972       1.643906       0.001028
       973       1.643907       0.001027
       974       1.643908       0.001026
       975       1.643909       0.001025
       976       1.643910       0.001024
       977       1.643911       0.001023
       978       1.643912       0.001022
       979       1.643913       0.001021
       980       1.643914       0.001020
       981       1.643915       0.001019
       982       1.643916       0.001018
       983       1.643917       0.001017
       984       1.643918       0.001016
       985       1.643919       0.001015
       986       1.643920       0.001014
       987       1.643921       0.001013
       988       1.643922       0.001012
       989       1.643923       0.001011
       990       1.643924       0.001010
       991       1.643925       0.001009
       992       1.643927       0.001008
       993       1.643928       0.001007
       994       1.643929       0.001006
       995       1.643930       0.001005
       996       1.643931       0.001004
       997       1.643932       0.001003
       998       1.643933       0.001002
       999       1.643934       0.001001
      1000       1.643935       0.001000
      1001       1.643936       0.000999
      1002       1.643937       0.000998
      1003       1.643938       0.000997
      1004       1.643939       0.000996
      1005       1.643940       0.000995
      1006       1.643941       0.000994
      1007       1.643942       0.000993
      1008       1.643942       0.000992
      1009       1.643943       0.000991
      1010       1.643944       0.000990
      1011       1.643945       0.000989
      1012       1.643946       0.000988
      1013       1.643947       0.000987
      1014       1.643948       0.000986
      1015       1.643949       0.000985
      1016       1.643950       0.000984
      1017       1.643951       0.000983
      1018       1.643952       0.000982
      1019       1.643953       0.000981
      1020       1.643954       0.000980
      1021       1.643955       0.000979
      1022       1.643956       0.000978
      1023       1.643957       0.000977
      1024       1.643958       0.000976
      1025       1.643959       0.000975
      1026       1.643960       0.000974
      1027       1.643961       0.000973
      1028       1.643962       0.000972
      1029       1.643963       0.000971
      1030       1.643964       0.000970
      1031       1.643965       0.000969
      1032       1.643966       0.000969
      1033       1.643966       0.000968
      1034       1.643967       0.000967
      1035       1.643968       0.000966
      1036       1.643969       0.000965
      1037       1.643970       0.000964
      1038       1.643971       0.000963
      1039       1.643972       0.000962
      1040       1.643973       0.000961
      1041       1.643974       0.000960
      1042       1.643975       0.000959
      1043       1.643976       0.000958
      1044       1.643977       0.000957
      1045       1.643978       0.000956
      1046       1.643979       0.000956
      1047       1.643979       0.000955
      1048       1.643980       0.000954
      1049       1.643981       0.000953
      1050       1.643982       0.000952
      1051       1.643983       0.000951
      1052       1.643984       0.000950
      1053       1.643985       0.000949
      1054       1.643986       0.000948
      1055       1.643987       0.000947
      1056       1.643988       0.000947
