+-------------------------------------+
|        Program final_project        |
| Author: Jose Antonio Quinonero Gris |
+-------------------------------------+

Model: Simple                                                                          
Method: RK4                                                                             

Initial time, t_0 (arbitrary units):       0.00
Time of simulation (arbitrary units):     100.00
Time step (arbitrary units):       0.01
Number of points: 20001

Constants:
alpha =   0.400000
alphaprime =   0.000000
beta =   0.100000
kappa =   1.100000
kappaprime =   0.000000
lambda =   0.400000

Results:
Number of iterations: 20001
Total time of simulation:          100.00

------------------------------------------------
           t            Prey           Predator
------------------------------------------------
          78.45           0.06           0.95
          78.45           0.06           0.95
          78.46           0.06           0.95
          78.47           0.06           0.95
          78.47           0.06           0.95
          78.48           0.06           0.94
          78.48           0.06           0.94
          78.48           0.06           0.94
          78.49           0.06           0.94
          78.50           0.06           0.94
          78.50           0.07           0.94
          78.50           0.07           0.93
          78.51           0.07           0.93
          78.52           0.07           0.93
          78.52           0.07           0.93
          78.53           0.07           0.93
          78.53           0.07           0.92
          78.53           0.07           0.92
          78.54           0.07           0.92
          78.55           0.07           0.92
          78.55           0.07           0.92
          78.56           0.07           0.92
          78.56           0.07           0.91
          78.56           0.07           0.91
          78.57           0.07           0.91
          78.58           0.07           0.91
          78.58           0.07           0.91
          78.59           0.07           0.90
          78.59           0.07           0.90
          78.59           0.07           0.90
          78.60           0.07           0.90
          78.61           0.07           0.90
          78.61           0.07           0.90
          78.61           0.07           0.89
          78.62           0.07           0.89
          78.62           0.07           0.89
          78.63           0.07           0.89
          78.64           0.07           0.89
          78.64           0.07           0.89
          78.64           0.07           0.88
          78.65           0.07           0.88
          78.66           0.07           0.88
          78.66           0.07           0.88
          78.67           0.07           0.88
          78.67           0.07           0.88
          78.67           0.07           0.87
          78.68           0.07           0.87
          78.69           0.07           0.87
          78.69           0.08           0.87
          78.70           0.08           0.87
          78.70           0.08           0.87
          78.70           0.08           0.86
          78.71           0.08           0.86
          78.72           0.08           0.86
          78.72           0.08           0.86
          78.73           0.08           0.86
          78.73           0.08           0.85
          78.73           0.08           0.85
          78.74           0.08           0.85
          78.75           0.08           0.85
          78.75           0.08           0.85
          78.75           0.08           0.85
          78.76           0.08           0.84
          78.77           0.08           0.84
          78.77           0.08           0.84
          78.78           0.08           0.84
          78.78           0.08           0.84
          78.78           0.08           0.84
          78.79           0.08           0.84
          78.80           0.08           0.83
          78.80           0.08           0.83
          78.81           0.08           0.83
          78.81           0.08           0.83
          78.81           0.08           0.83
          78.82           0.08           0.83
          78.83           0.08           0.82
          78.83           0.08           0.82
          78.84           0.08           0.82
          78.84           0.08           0.82
          78.84           0.08           0.82
          78.85           0.08           0.82
          78.86           0.09           0.81
          78.86           0.09           0.81
          78.86           0.09           0.81
          78.87           0.09           0.81
          78.88           0.09           0.81
          78.88           0.09           0.81
          78.89           0.09           0.80
          78.89           0.09           0.80
          78.89           0.09           0.80
          78.90           0.09           0.80
          78.91           0.09           0.80
          78.91           0.09           0.80
          78.92           0.09           0.80
          78.92           0.09           0.79
          78.92           0.09           0.79
          78.93           0.09           0.79
          78.94           0.09           0.79
          78.94           0.09           0.79
          78.95           0.09           0.79
          78.95           0.09           0.78
          78.95           0.09           0.78
          78.96           0.09           0.78
          78.97           0.09           0.78
          78.97           0.09           0.78
          78.98           0.09           0.78
          78.98           0.09           0.78
          78.98           0.09           0.77
          78.99           0.09           0.77
          79.00           0.09           0.77
          79.00           0.10           0.77
          79.00           0.10           0.77
          79.01           0.10           0.77
          79.02           0.10           0.76
          79.02           0.10           0.76
          79.03           0.10           0.76
          79.03           0.10           0.76
          79.03           0.10           0.76
          79.04           0.10           0.76
          79.05           0.10           0.76
          79.05           0.10           0.75
          79.06           0.10           0.75
          79.06           0.10           0.75
          79.06           0.10           0.75
          79.07           0.10           0.75
          79.08           0.10           0.75
          79.08           0.10           0.75
          79.09           0.10           0.74
          79.09           0.10           0.74
          79.09           0.10           0.74
          79.10           0.10           0.74
          79.11           0.10           0.74
          79.11           0.10           0.74
          79.11           0.10           0.74
          79.12           0.10           0.73
          79.12           0.11           0.73
          79.13           0.11           0.73
          79.14           0.11           0.73
          79.14           0.11           0.73
          79.14           0.11           0.73
          79.15           0.11           0.73
          79.16           0.11           0.72
          79.16           0.11           0.72
          79.17           0.11           0.72
          79.17           0.11           0.72
          79.17           0.11           0.72
          79.18           0.11           0.72
          79.19           0.11           0.72
          79.19           0.11           0.71
          79.20           0.11           0.71
          79.20           0.11           0.71
          79.20           0.11           0.71
          79.21           0.11           0.71
          79.22           0.11           0.71
          79.22           0.11           0.71
          79.23           0.11           0.70
          79.23           0.11           0.70
          79.23           0.12           0.70
          79.24           0.12           0.70
          79.25           0.12           0.70
          79.25           0.12           0.70
          79.25           0.12           0.70
          79.26           0.12           0.70
          79.27           0.12           0.69
          79.27           0.12           0.69
          79.28           0.12           0.69
          79.28           0.12           0.69
          79.28           0.12           0.69
          79.29           0.12           0.69
          79.30           0.12           0.69
          79.30           0.12           0.68
          79.31           0.12           0.68
          79.31           0.12           0.68
          79.31           0.12           0.68
          79.32           0.12           0.68
          79.33           0.12           0.68
          79.33           0.12           0.68
          79.34           0.13           0.68
          79.34           0.13           0.67
          79.34           0.13           0.67
          79.35           0.13           0.67
          79.36           0.13           0.67
          79.36           0.13           0.67
          79.36           0.13           0.67
          79.37           0.13           0.67
          79.38           0.13           0.66
          79.38           0.13           0.66
          79.39           0.13           0.66
          79.39           0.13           0.66
          79.39           0.13           0.66
          79.40           0.13           0.66
          79.41           0.13           0.66
          79.41           0.13           0.66
          79.42           0.13           0.65
          79.42           0.13           0.65
          79.42           0.13           0.65
          79.43           0.14           0.65
          79.44           0.14           0.65
          79.44           0.14           0.65
          79.45           0.14           0.65
          79.45           0.14           0.65
          79.45           0.14           0.64
          79.46           0.14           0.64
          79.47           0.14           0.64
          79.47           0.14           0.64
          79.48           0.14           0.64
          79.48           0.14           0.64
          79.48           0.14           0.64
          79.49           0.14           0.64
          79.50           0.14           0.63
          79.50           0.14           0.63
          79.50           0.14           0.63
          79.51           0.14           0.63
          79.52           0.15           0.63
          79.52           0.15           0.63
          79.53           0.15           0.63
          79.53           0.15           0.63
          79.53           0.15           0.62
          79.54           0.15           0.62
          79.55           0.15           0.62
          79.55           0.15           0.62
          79.56           0.15           0.62
          79.56           0.15           0.62
          79.56           0.15           0.62
          79.57           0.15           0.62
          79.58           0.15           0.62
          79.58           0.15           0.61
          79.59           0.15           0.61
          79.59           0.16           0.61
          79.59           0.16           0.61
          79.60           0.16           0.61
          79.61           0.16           0.61
          79.61           0.16           0.61
          79.61           0.16           0.61
          79.62           0.16           0.60
          79.62           0.16           0.60
          79.63           0.16           0.60
          79.64           0.16           0.60
          79.64           0.16           0.60
          79.64           0.16           0.60
          79.65           0.16           0.60
          79.66           0.16           0.60
          79.66           0.16           0.60
          79.67           0.17           0.59
          79.67           0.17           0.59
          79.67           0.17           0.59
          79.68           0.17           0.59
          79.69           0.17           0.59
          79.69           0.17           0.59
          79.70           0.17           0.59
          79.70           0.17           0.59
          79.70           0.17           0.59
          79.71           0.17           0.58
          79.72           0.17           0.58
          79.72           0.17           0.58
          79.73           0.17           0.58
          79.73           0.17           0.58
          79.73           0.18           0.58
          79.74           0.18           0.58
          79.75           0.18           0.58
          79.75           0.18           0.58
          79.75           0.18           0.57
          79.76           0.18           0.57
          79.77           0.18           0.57
          79.77           0.18           0.57
          79.78           0.18           0.57
          79.78           0.18           0.57
          79.78           0.18           0.57
          79.79           0.18           0.57
          79.80           0.19           0.57
          79.80           0.19           0.56
          79.81           0.19           0.56
          79.81           0.19           0.56
          79.81           0.19           0.56
          79.82           0.19           0.56
          79.83           0.19           0.56
          79.83           0.19           0.56
          79.84           0.19           0.56
          79.84           0.19           0.56
          79.84           0.19           0.55
          79.85           0.19           0.55
          79.86           0.20           0.55
          79.86           0.20           0.55
          79.86           0.20           0.55
          79.87           0.20           0.55
          79.88           0.20           0.55
          79.88           0.20           0.55
          79.89           0.20           0.55
          79.89           0.20           0.55
          79.89           0.20           0.54
          79.90           0.20           0.54
          79.91           0.20           0.54
          79.91           0.20           0.54
          79.92           0.21           0.54
          79.92           0.21           0.54
          79.92           0.21           0.54
          79.93           0.21           0.54
          79.94           0.21           0.54
          79.94           0.21           0.54
          79.95           0.21           0.53
          79.95           0.21           0.53
          79.95           0.21           0.53
          79.96           0.21           0.53
          79.97           0.22           0.53
          79.97           0.22           0.53
          79.98           0.22           0.53
          79.98           0.22           0.53
          79.98           0.22           0.53
          79.99           0.22           0.53
          80.00           0.22           0.52
          80.00           0.22           0.52
          80.00           0.22           0.52
          80.01           0.22           0.52
          80.02           0.22           0.52
          80.02           0.23           0.52
          80.03           0.23           0.52
          80.03           0.23           0.52
          80.03           0.23           0.52
          80.04           0.23           0.52
          80.05           0.23           0.51
          80.05           0.23           0.51
          80.06           0.23           0.51
          80.06           0.23           0.51
          80.06           0.24           0.51
          80.07           0.24           0.51
          80.08           0.24           0.51
          80.08           0.24           0.51
          80.09           0.24           0.51
          80.09           0.24           0.51
          80.09           0.24           0.50
          80.10           0.24           0.50
          80.11           0.24           0.50
          80.11           0.24           0.50
          80.11           0.25           0.50
          80.12           0.25           0.50
          80.12           0.25           0.50
          80.13           0.25           0.50
          80.14           0.25           0.50
          80.14           0.25           0.50
          80.14           0.25           0.50
          80.15           0.25           0.49
          80.16           0.25           0.49
          80.16           0.26           0.49
          80.17           0.26           0.49
          80.17           0.26           0.49
          80.17           0.26           0.49
          80.18           0.26           0.49
          80.19           0.26           0.49
          80.19           0.26           0.49
          80.20           0.26           0.49
          80.20           0.27           0.49
          80.20           0.27           0.48
          80.21           0.27           0.48
          80.22           0.27           0.48
          80.22           0.27           0.48
          80.23           0.27           0.48
          80.23           0.27           0.48
          80.23           0.27           0.48
          80.24           0.28           0.48
          80.25           0.28           0.48
          80.25           0.28           0.48
          80.25           0.28           0.48
          80.26           0.28           0.47
          80.27           0.28           0.47
          80.27           0.28           0.47
          80.28           0.28           0.47
          80.28           0.29           0.47
          80.28           0.29           0.47
          80.29           0.29           0.47
          80.30           0.29           0.47
          80.30           0.29           0.47
          80.31           0.29           0.47
          80.31           0.29           0.47
          80.31           0.29           0.47
          80.32           0.30           0.46
          80.33           0.30           0.46
          80.33           0.30           0.46
          80.34           0.30           0.46
          80.34           0.30           0.46
          80.34           0.30           0.46
          80.35           0.30           0.46
          80.36           0.31           0.46
          80.36           0.31           0.46
          80.36           0.31           0.46
          80.37           0.31           0.46
          80.38           0.31           0.45
          80.38           0.31           0.45
          80.39           0.31           0.45
          80.39           0.32           0.45
          80.39           0.32           0.45
          80.40           0.32           0.45
          80.41           0.32           0.45
          80.41           0.32           0.45
          80.42           0.32           0.45
          80.42           0.32           0.45
          80.42           0.33           0.45
          80.43           0.33           0.45
          80.44           0.33           0.44
          80.44           0.33           0.44
          80.45           0.33           0.44
          80.45           0.33           0.44
          80.45           0.34           0.44
          80.46           0.34           0.44
          80.47           0.34           0.44
          80.47           0.34           0.44
          80.48           0.34           0.44
          80.48           0.34           0.44
          80.48           0.34           0.44
          80.49           0.35           0.44
          80.50           0.35           0.44
          80.50           0.35           0.43
          80.50           0.35           0.43
          80.51           0.35           0.43
          80.52           0.35           0.43
          80.52           0.36           0.43
          80.53           0.36           0.43
          80.53           0.36           0.43
          80.53           0.36           0.43
          80.54           0.36           0.43
          80.55           0.36           0.43
          80.55           0.37           0.43
          80.56           0.37           0.43
          80.56           0.37           0.43
          80.56           0.37           0.42
          80.57           0.37           0.42
          80.58           0.37           0.42
          80.58           0.38           0.42
          80.59           0.38           0.42
          80.59           0.38           0.42
          80.59           0.38           0.42
          80.60           0.38           0.42
          80.61           0.39           0.42
          80.61           0.39           0.42
          80.61           0.39           0.42
          80.62           0.39           0.42
          80.62           0.39           0.42
          80.63           0.39           0.41
          80.64           0.40           0.41
          80.64           0.40           0.41
          80.64           0.40           0.41
          80.65           0.40           0.41
          80.66           0.40           0.41
          80.66           0.41           0.41
          80.67           0.41           0.41
          80.67           0.41           0.41
          80.67           0.41           0.41
          80.68           0.41           0.41
          80.69           0.42           0.41
          80.69           0.42           0.41
          80.70           0.42           0.40
          80.70           0.42           0.40
          80.70           0.42           0.40
          80.71           0.43           0.40
          80.72           0.43           0.40
          80.72           0.43           0.40
          80.73           0.43           0.40
          80.73           0.43           0.40
          80.73           0.44           0.40
          80.74           0.44           0.40
          80.75           0.44           0.40
          80.75           0.44           0.40
          80.75           0.44           0.40
          80.76           0.45           0.40
          80.77           0.45           0.39
          80.77           0.45           0.39
          80.78           0.45           0.39
          80.78           0.45           0.39
          80.78           0.46           0.39
          80.79           0.46           0.39
          80.80           0.46           0.39
          80.80           0.46           0.39
          80.81           0.46           0.39
          80.81           0.47           0.39
          80.81           0.47           0.39
          80.82           0.47           0.39
          80.83           0.47           0.39
          80.83           0.48           0.39
          80.84           0.48           0.39
          80.84           0.48           0.38
          80.84           0.48           0.38
          80.85           0.49           0.38
          80.86           0.49           0.38
          80.86           0.49           0.38
          80.86           0.49           0.38
          80.87           0.49           0.38
          80.88           0.50           0.38
          80.88           0.50           0.38
          80.89           0.50           0.38
          80.89           0.50           0.38
          80.89           0.51           0.38
          80.90           0.51           0.38
          80.91           0.51           0.38
          80.91           0.51           0.38
          80.92           0.52           0.37
          80.92           0.52           0.37
          80.92           0.52           0.37
          80.93           0.52           0.37
          80.94           0.53           0.37
          80.94           0.53           0.37
          80.95           0.53           0.37
          80.95           0.53           0.37
          80.95           0.54           0.37
          80.96           0.54           0.37
          80.97           0.54           0.37
          80.97           0.54           0.37
          80.98           0.55           0.37
          80.98           0.55           0.37
          80.98           0.55           0.37
          80.99           0.55           0.37
          81.00           0.56           0.36
          81.00           0.56           0.36
          81.00           0.56           0.36
          81.01           0.56           0.36
          81.02           0.57           0.36
          81.02           0.57           0.36
          81.03           0.57           0.36
          81.03           0.58           0.36
          81.03           0.58           0.36
          81.04           0.58           0.36
          81.05           0.58           0.36
          81.05           0.59           0.36
          81.06           0.59           0.36
          81.06           0.59           0.36
          81.06           0.60           0.36
          81.07           0.60           0.36
          81.08           0.60           0.35
          81.08           0.60           0.35
          81.09           0.61           0.35
          81.09           0.61           0.35
          81.09           0.61           0.35
          81.10           0.62           0.35
          81.11           0.62           0.35
          81.11           0.62           0.35
          81.11           0.62           0.35
          81.12           0.63           0.35
          81.12           0.63           0.35
          81.13           0.63           0.35
          81.14           0.64           0.35
          81.14           0.64           0.35
          81.14           0.64           0.35
          81.15           0.65           0.35
          81.16           0.65           0.35
          81.16           0.65           0.34
          81.17           0.66           0.34
          81.17           0.66           0.34
          81.17           0.66           0.34
          81.18           0.66           0.34
          81.19           0.67           0.34
          81.19           0.67           0.34
          81.20           0.67           0.34
          81.20           0.68           0.34
          81.20           0.68           0.34
          81.21           0.68           0.34
          81.22           0.69           0.34
          81.22           0.69           0.34
          81.23           0.69           0.34
          81.23           0.70           0.34
          81.23           0.70           0.34
          81.24           0.70           0.34
          81.25           0.71           0.33
          81.25           0.71           0.33
          81.25           0.71           0.33
          81.26           0.72           0.33
          81.27           0.72           0.33
          81.27           0.73           0.33
          81.28           0.73           0.33
          81.28           0.73           0.33
          81.28           0.74           0.33
          81.29           0.74           0.33
          81.30           0.74           0.33
          81.30           0.75           0.33
          81.31           0.75           0.33
          81.31           0.75           0.33
          81.31           0.76           0.33
          81.32           0.76           0.33
          81.33           0.76           0.33
          81.33           0.77           0.33
          81.34           0.77           0.33
          81.34           0.78           0.32
          81.34           0.78           0.32
          81.35           0.78           0.32
          81.36           0.79           0.32
          81.36           0.79           0.32
          81.36           0.80           0.32
          81.37           0.80           0.32
          81.38           0.80           0.32
          81.38           0.81           0.32
          81.39           0.81           0.32
          81.39           0.81           0.32
          81.39           0.82           0.32
          81.40           0.82           0.32
          81.41           0.83           0.32
          81.41           0.83           0.32
          81.42           0.83           0.32
          81.42           0.84           0.32
          81.42           0.84           0.32
          81.43           0.85           0.32
          81.44           0.85           0.32
          81.44           0.86           0.31
          81.45           0.86           0.31
          81.45           0.86           0.31
          81.45           0.87           0.31
          81.46           0.87           0.31
          81.47           0.88           0.31
          81.47           0.88           0.31
          81.48           0.89           0.31
          81.48           0.89           0.31
          81.48           0.89           0.31
          81.49           0.90           0.31
          81.50           0.90           0.31
          81.50           0.91           0.31
          81.50           0.91           0.31
          81.51           0.92           0.31
          81.52           0.92           0.31
          81.52           0.92           0.31
          81.53           0.93           0.31
          81.53           0.93           0.31
          81.53           0.94           0.31
          81.54           0.94           0.30
          81.55           0.95           0.30
          81.55           0.95           0.30
          81.56           0.96           0.30
          81.56           0.96           0.30
          81.56           0.97           0.30
          81.57           0.97           0.30
          81.58           0.98           0.30
          81.58           0.98           0.30
          81.59           0.99           0.30
          81.59           0.99           0.30
          81.59           1.00           0.30
          81.60           1.00           0.30
          81.61           1.01           0.30
          81.61           1.01           0.30
          81.61           1.02           0.30
          81.62           1.02           0.30
          81.62           1.03           0.30
          81.63           1.03           0.30
          81.64           1.04           0.30
          81.64           1.04           0.30
          81.64           1.05           0.30
          81.65           1.05           0.30
          81.66           1.06           0.29
          81.66           1.06           0.29
          81.67           1.07           0.29
          81.67           1.07           0.29
          81.67           1.08           0.29
          81.68           1.08           0.29
          81.69           1.09           0.29
          81.69           1.09           0.29
          81.70           1.10           0.29
          81.70           1.10           0.29
          81.70           1.11           0.29
          81.71           1.11           0.29
          81.72           1.12           0.29
          81.72           1.13           0.29
          81.73           1.13           0.29
          81.73           1.14           0.29
          81.73           1.14           0.29
          81.74           1.15           0.29
          81.75           1.15           0.29
          81.75           1.16           0.29
          81.75           1.16           0.29
          81.76           1.17           0.29
          81.77           1.18           0.29
          81.77           1.18           0.28
          81.78           1.19           0.28
          81.78           1.19           0.28
          81.78           1.20           0.28
          81.79           1.21           0.28
          81.80           1.21           0.28
          81.80           1.22           0.28
          81.81           1.22           0.28
          81.81           1.23           0.28
          81.81           1.24           0.28
          81.82           1.24           0.28
          81.83           1.25           0.28
          81.83           1.25           0.28
          81.84           1.26           0.28
          81.84           1.27           0.28
          81.84           1.27           0.28
          81.85           1.28           0.28
          81.86           1.29           0.28
          81.86           1.29           0.28
          81.86           1.30           0.28
          81.87           1.30           0.28
          81.88           1.31           0.28
          81.88           1.32           0.28
          81.89           1.32           0.28
          81.89           1.33           0.28
          81.89           1.34           0.28
          81.90           1.34           0.28
          81.91           1.35           0.27
          81.91           1.36           0.27
          81.92           1.36           0.27
          81.92           1.37           0.27
          81.92           1.38           0.27
          81.93           1.38           0.27
          81.94           1.39           0.27
          81.94           1.40           0.27
          81.95           1.41           0.27
          81.95           1.41           0.27
          81.95           1.42           0.27
          81.96           1.43           0.27
          81.97           1.43           0.27
          81.97           1.44           0.27
          81.98           1.45           0.27
          81.98           1.46           0.27
          81.98           1.46           0.27
          81.99           1.47           0.27
          82.00           1.48           0.27
          82.00           1.48           0.27
          82.00           1.49           0.27
          82.01           1.50           0.27
          82.02           1.51           0.27
          82.02           1.51           0.27
          82.03           1.52           0.27
          82.03           1.53           0.27
          82.03           1.54           0.27
          82.04           1.54           0.27
          82.05           1.55           0.27
          82.05           1.56           0.26
          82.06           1.57           0.26
          82.06           1.58           0.26
          82.06           1.58           0.26
          82.07           1.59           0.26
          82.08           1.60           0.26
          82.08           1.61           0.26
          82.09           1.62           0.26
          82.09           1.62           0.26
          82.09           1.63           0.26
          82.10           1.64           0.26
          82.11           1.65           0.26
          82.11           1.66           0.26
          82.11           1.66           0.26
          82.12           1.67           0.26
          82.12           1.68           0.26
          82.13           1.69           0.26
          82.14           1.70           0.26
          82.14           1.71           0.26
          82.14           1.71           0.26
          82.15           1.72           0.26
          82.16           1.73           0.26
          82.16           1.74           0.26
          82.17           1.75           0.26
          82.17           1.76           0.26
          82.17           1.77           0.26
          82.18           1.78           0.26
          82.19           1.78           0.26
          82.19           1.79           0.26
          82.20           1.80           0.26
          82.20           1.81           0.26
          82.20           1.82           0.26
          82.21           1.83           0.26
          82.22           1.84           0.25
          82.22           1.85           0.25
          82.23           1.86           0.25
          82.23           1.87           0.25
          82.23           1.88           0.25
          82.24           1.88           0.25
          82.25           1.89           0.25
          82.25           1.90           0.25
          82.25           1.91           0.25
          82.26           1.92           0.25
          82.27           1.93           0.25
          82.27           1.94           0.25
          82.28           1.95           0.25
          82.28           1.96           0.25
          82.28           1.97           0.25
          82.29           1.98           0.25
          82.30           1.99           0.25
          82.30           2.00           0.25
          82.31           2.01           0.25
          82.31           2.02           0.25
          82.31           2.03           0.25
          82.32           2.04           0.25
          82.33           2.05           0.25
          82.33           2.06           0.25
          82.34           2.07           0.25
          82.34           2.08           0.25
          82.34           2.09           0.25
          82.35           2.10           0.25
          82.36           2.11           0.25
          82.36           2.13           0.25
          82.36           2.14           0.25
          82.37           2.15           0.25
          82.38           2.16           0.25
          82.38           2.17           0.25
          82.39           2.18           0.25
          82.39           2.19           0.25
          82.39           2.20           0.25
          82.40           2.21           0.25
          82.41           2.22           0.25
          82.41           2.23           0.25
          82.42           2.25           0.24
          82.42           2.26           0.24
          82.42           2.27           0.24
          82.43           2.28           0.24
          82.44           2.29           0.24
          82.44           2.30           0.24
          82.45           2.31           0.24
          82.45           2.33           0.24
          82.45           2.34           0.24
          82.46           2.35           0.24
          82.47           2.36           0.24
          82.47           2.37           0.24
          82.48           2.38           0.24
          82.48           2.40           0.24
          82.48           2.41           0.24
          82.49           2.42           0.24
          82.50           2.43           0.24
          82.50           2.45           0.24
          82.50           2.46           0.24
          82.51           2.47           0.24
          82.52           2.48           0.24
          82.52           2.50           0.24
          82.53           2.51           0.24
          82.53           2.52           0.24
          82.53           2.53           0.24
          82.54           2.55           0.24
          82.55           2.56           0.24
          82.55           2.57           0.24
          82.56           2.58           0.24
          82.56           2.60           0.24
          82.56           2.61           0.24
          82.57           2.62           0.24
          82.58           2.64           0.24
          82.58           2.65           0.24
          82.59           2.66           0.24
          82.59           2.68           0.24
          82.59           2.69           0.24
          82.60           2.70           0.24
          82.61           2.72           0.24
          82.61           2.73           0.24
          82.61           2.74           0.24
          82.62           2.76           0.24
          82.62           2.77           0.24
          82.63           2.79           0.24
          82.64           2.80           0.24
          82.64           2.81           0.24
          82.64           2.83           0.24
          82.65           2.84           0.24
          82.66           2.86           0.24
          82.66           2.87           0.24
          82.67           2.89           0.24
          82.67           2.90           0.24
          82.67           2.92           0.24
          82.68           2.93           0.24
          82.69           2.94           0.24
          82.69           2.96           0.24
          82.70           2.97           0.24
          82.70           2.99           0.24
          82.70           3.00           0.24
          82.71           3.02           0.24
          82.72           3.04           0.24
          82.72           3.05           0.23
          82.73           3.07           0.23
          82.73           3.08           0.23
          82.73           3.10           0.23
          82.74           3.11           0.23
          82.75           3.13           0.23
          82.75           3.14           0.23
          82.75           3.16           0.23
          82.76           3.18           0.23
          82.77           3.19           0.23
          82.77           3.21           0.23
          82.78           3.22           0.23
          82.78           3.24           0.23
          82.78           3.26           0.23
          82.79           3.27           0.23
          82.80           3.29           0.23
          82.80           3.31           0.23
          82.81           3.32           0.23
          82.81           3.34           0.23
          82.81           3.36           0.23
          82.82           3.37           0.23
          82.83           3.39           0.23
          82.83           3.41           0.23
          82.84           3.42           0.23
          82.84           3.44           0.23
          82.84           3.46           0.23
          82.85           3.48           0.23
          82.86           3.49           0.23
          82.86           3.51           0.23
          82.86           3.53           0.23
          82.87           3.55           0.23
          82.88           3.57           0.23
          82.88           3.58           0.23
          82.89           3.60           0.23
          82.89           3.62           0.23
          82.89           3.64           0.23
          82.90           3.66           0.23
          82.91           3.67           0.23
          82.91           3.69           0.23
          82.92           3.71           0.23
          82.92           3.73           0.23
          82.92           3.75           0.23
          82.93           3.77           0.23
          82.94           3.79           0.23
          82.94           3.81           0.23
          82.95           3.83           0.23
          82.95           3.85           0.23
          82.95           3.86           0.23
          82.96           3.88           0.23
          82.97           3.90           0.23
          82.97           3.92           0.23
          82.98           3.94           0.23
          82.98           3.96           0.23
          82.98           3.98           0.23
          82.99           4.00           0.23
          83.00           4.02           0.23
          83.00           4.04           0.23
          83.00           4.06           0.23
          83.01           4.08           0.23
          83.02           4.11           0.23
          83.02           4.13           0.23
          83.03           4.15           0.23
          83.03           4.17           0.23
          83.03           4.19           0.23
          83.04           4.21           0.23
          83.05           4.23           0.23
          83.05           4.25           0.23
          83.06           4.27           0.23
          83.06           4.30           0.23
          83.06           4.32           0.23
          83.07           4.34           0.23
          83.08           4.36           0.23
          83.08           4.38           0.23
          83.09           4.41           0.23
          83.09           4.43           0.23
          83.09           4.45           0.23
          83.10           4.47           0.23
          83.11           4.49           0.23
          83.11           4.52           0.23
          83.11           4.54           0.23
          83.12           4.56           0.23
          83.12           4.59           0.23
          83.13           4.61           0.23
          83.14           4.63           0.23
          83.14           4.66           0.23
          83.14           4.68           0.23
          83.15           4.70           0.23
          83.16           4.73           0.23
          83.16           4.75           0.23
          83.17           4.77           0.23
          83.17           4.80           0.23
          83.17           4.82           0.23
          83.18           4.85           0.23
          83.19           4.87           0.23
          83.19           4.90           0.23
          83.20           4.92           0.23
          83.20           4.95           0.23
          83.20           4.97           0.23
          83.21           5.00           0.23
          83.22           5.02           0.23
          83.22           5.05           0.23
          83.23           5.07           0.23
          83.23           5.10           0.23
          83.23           5.12           0.23
          83.24           5.15           0.24
          83.25           5.18           0.24
          83.25           5.20           0.24
          83.25           5.23           0.24
          83.26           5.25           0.24
          83.27           5.28           0.24
          83.27           5.31           0.24
          83.28           5.33           0.24
          83.28           5.36           0.24
          83.28           5.39           0.24
          83.29           5.41           0.24
          83.30           5.44           0.24
          83.30           5.47           0.24
          83.31           5.50           0.24
          83.31           5.52           0.24
          83.31           5.55           0.24
          83.32           5.58           0.24
          83.33           5.61           0.24
          83.33           5.64           0.24
          83.34           5.67           0.24
          83.34           5.69           0.24
