+-------------------------------------+
|        Program final_project        |
| Author: Jose Antonio Quinonero Gris |
+-------------------------------------+

Model: Simple                                                                          
Method: RK4                                                                             

Initial time, t_0 (arbitrary units):       0.00
Time of simulation (arbitrary units):     100.00
Time step (arbitrary units):       0.01
Number of points: 20001

Constants:
alpha =   0.400000
alphaprime =   0.000000
beta =   0.100000
kappa =   1.100000
kappaprime =   0.000000
lambda =   0.400000

Results:
Number of iterations: 20001
Total time of simulation:          100.00

------------------------------------------------
           t            Prey           Predator
------------------------------------------------
           4.10           0.02           2.71
           4.11           0.02           2.71
           4.11           0.02           2.70
           4.12           0.02           2.70
           4.12           0.02           2.69
           4.12           0.02           2.68
           4.13           0.02           2.68
           4.13           0.02           2.67
           4.14           0.02           2.67
           4.15           0.02           2.66
           4.15           0.02           2.66
           4.16           0.02           2.65
           4.16           0.02           2.65
           4.17           0.02           2.64
           4.17           0.02           2.64
           4.17           0.02           2.63
           4.18           0.02           2.63
           4.19           0.02           2.62
           4.19           0.02           2.62
           4.20           0.02           2.61
           4.20           0.02           2.61
           4.21           0.02           2.60
           4.21           0.02           2.60
           4.21           0.02           2.59
           4.22           0.02           2.59
           4.22           0.02           2.58
           4.23           0.02           2.58
           4.24           0.02           2.57
           4.24           0.02           2.56
           4.25           0.02           2.56
           4.25           0.02           2.55
           4.25           0.02           2.55
           4.26           0.02           2.54
           4.26           0.02           2.54
           4.27           0.02           2.53
           4.28           0.02           2.53
           4.28           0.02           2.52
           4.29           0.02           2.52
           4.29           0.02           2.51
           4.29           0.02           2.51
           4.30           0.02           2.50
           4.30           0.02           2.50
           4.31           0.02           2.49
           4.32           0.02           2.49
           4.32           0.02           2.48
           4.33           0.02           2.48
           4.33           0.02           2.47
           4.33           0.02           2.47
           4.34           0.02           2.46
           4.34           0.02           2.46
           4.35           0.02           2.46
           4.36           0.02           2.45
           4.36           0.02           2.45
           4.37           0.02           2.44
           4.37           0.02           2.44
           4.38           0.02           2.43
           4.38           0.02           2.43
           4.38           0.02           2.42
           4.39           0.02           2.42
           4.40           0.02           2.41
           4.40           0.02           2.41
           4.41           0.02           2.40
           4.41           0.02           2.40
           4.42           0.02           2.39
           4.42           0.02           2.39
           4.42           0.02           2.38
           4.43           0.02           2.38
           4.44           0.02           2.37
           4.44           0.02           2.37
           4.45           0.02           2.36
           4.45           0.02           2.36
           4.46           0.02           2.35
           4.46           0.02           2.35
           4.46           0.02           2.35
           4.47           0.02           2.34
           4.48           0.02           2.34
           4.48           0.02           2.33
           4.49           0.02           2.33
           4.49           0.02           2.32
           4.50           0.02           2.32
           4.50           0.02           2.31
           4.50           0.02           2.31
           4.51           0.02           2.30
           4.51           0.02           2.30
           4.52           0.02           2.29
           4.53           0.02           2.29
           4.53           0.02           2.29
           4.54           0.02           2.28
           4.54           0.02           2.28
           4.54           0.02           2.27
           4.55           0.02           2.27
           4.55           0.02           2.26
           4.56           0.02           2.26
           4.57           0.02           2.25
           4.57           0.02           2.25
           4.58           0.02           2.24
           4.58           0.02           2.24
           4.58           0.02           2.24
           4.59           0.02           2.23
           4.59           0.02           2.23
           4.60           0.02           2.22
           4.61           0.02           2.22
           4.61           0.02           2.21
           4.62           0.02           2.21
           4.62           0.02           2.20
           4.62           0.02           2.20
           4.63           0.02           2.20
           4.63           0.02           2.19
           4.64           0.02           2.19
           4.65           0.02           2.18
           4.65           0.02           2.18
           4.66           0.02           2.17
           4.66           0.02           2.17
           4.67           0.02           2.17
           4.67           0.02           2.16
           4.67           0.02           2.16
           4.68           0.02           2.15
           4.69           0.02           2.15
           4.69           0.02           2.14
           4.70           0.02           2.14
           4.70           0.02           2.14
           4.71           0.02           2.13
           4.71           0.02           2.13
           4.71           0.02           2.12
           4.72           0.02           2.12
           4.73           0.02           2.11
           4.73           0.02           2.11
           4.74           0.02           2.11
           4.74           0.02           2.10
           4.75           0.02           2.10
           4.75           0.02           2.09
           4.75           0.02           2.09
           4.76           0.02           2.09
           4.76           0.02           2.08
           4.77           0.02           2.08
           4.78           0.02           2.07
           4.78           0.02           2.07
           4.79           0.02           2.06
           4.79           0.02           2.06
           4.79           0.02           2.06
           4.80           0.02           2.05
           4.80           0.02           2.05
           4.81           0.02           2.04
           4.82           0.02           2.04
           4.82           0.02           2.04
           4.83           0.02           2.03
           4.83           0.02           2.03
           4.83           0.02           2.02
           4.84           0.02           2.02
           4.84           0.02           2.02
           4.85           0.02           2.01
